nm_place,volume_event
笑脱喜剧脱口秀剧场（CBD店）,20
笑脱喜剧脱口秀剧场(三里屯店),150
笑脱喜剧脱口秀剧场（太古里美嘉影剧院店）,150
新街口剧空间剧场,150
新影联东申影城(贵友店)2号厅,100
新影联东申影城(贵友店)5号厅,80
新影联东申影城(国贸店)1号厅,100
新影联东申影城(国贸店)3号厅,100
鑫鑫合源,100
星巴克(北京朝阳门SOHO店),10
星巴克(来福士店),3
星典影城(亮马桥四季店),150
星河湾酒店-羽毛球场,12
徐悲鸿纪念馆,200
颜料会馆,10
阳光地带咖啡厅,10
耀莱成龙影城(马连道店),131
野友趣方家胡同店,30
夜不搜沉浸剧场,15
一幕空间,10
壹号画院,20
壹家庭教育,3
壹天叁顿(清河店),10
英皇电影城,127
英皇电影城(北京英皇中心店),127
英皇电影城(英皇集团中心店),127
瀛海文体俱乐部,260
硬核喜剧(财富购物中心店),100
雍和航星园(安定门东滨河路),100
攸德书屋,10
有家嗨店VR(金源新燕莎店),6
有书空间,10
渔阳国际滑雪场,30
虞社演艺空间(郎园VINTAGE店),500
遇见博物馆·in Space,800
月河湾马术俱乐部,10
悦·美术馆,300
云上美术馆,200
长安大戏院,787
长春堂顺时而饮（北大红楼店）,50
长庚剧社,10
中国地质博物馆,10
中国儿童剧场-假日经典小剧场,205
中国儿童艺术剧院,723
中国工艺美术馆,400
中国古动物馆,100
中国国际展览中心,5000
中国国家博物馆,8000
中国国家图书馆,10
中国国家图书馆总馆-国图艺术中心,1008
中国科学技术馆,10
中国科学院,10
中国美术馆,1000
中国木偶艺术剧院,20
中国木偶艺术剧院-黑猫剧场,636
中国木偶艺术剧院-卡酷剧场,605
中国木偶艺术剧院-小铃铛精品剧场,601
中国评剧大剧院-全国地方戏演出中心,736
中国评剧大剧院-全国地方戏演出中心,736
中国人民革命军事博物馆,10
中国书画院,50
中国铁道博物馆(东郊展馆),50
中国外文书店,10
中国园林博物馆,10
中华皮影文化城,2
中华世纪坛,300
中华世纪坛二层世纪艺术展厅西厅,300
中华世纪坛艺术馆,300
中山公园音乐堂,1400
中山音乐堂,1400
中体一方百子湾网球馆,20
中央歌剧院,800
中央民族乐团音乐厅,600
中影国际影城,136
中影国际影城(党史馆影院),136
中杂(东图)剧场,536
钟书阁(融科店),10
珠江帝景B区艺术眼画室,20
珠影耳东传奇影城1号厅(蓝色港湾),200
自然博物馆,30
自然王国星空营地,20
纵横马术(顺义店),6
纵横马术培训基地(丰台南宫店),6
北京博纳国际影城-大郊亭IMAX旗舰店,300
美嘉欢乐影城(三里屯店),150
